"time" "cases1"
"2" 1 13622
"3" 2 34498
"4" 3 9774
"5" 4 29866
"6" 5 30357
"7" 6 30431
"8" 7 29887
"9" 8 33287
"10" 9 24265
"11" 10 35675
"12" 11 40596
"13" 12 48985
"14" 13 25532
"15" 14 48019
"16" 15 45052
"17" 16 22084
"18" 17 19997
"19" 18 19074
"20" 19 11587
"21" 20 13797
"22" 21 8157
"23" 22 8160
"24" 23 6125
"25" 24 7066
"26" 25 9185
"27" 26 5454
"28" 27 1726
"29" 28 3449
"30" 29 4180
"31" 30 2039
"32" 31 3500
"33" 32 1736
"34" 33 2869
"35" 34 3225
"36" 35 2479
"37" 36 2045
"38" 37 1507
"39" 38 1596
"40" 39 2342
"41" 40 1627
"42" 41 2698
"43" 42 2167
"44" 43 3528
"45" 44 4708
"46" 45 3541
"47" 46 3254
"48" 47 3203
"49" 48 3534
"50" 49 4285
"51" 50 8535
"52" 51 7549
"53" 52 13712
"54" 53 12393
"55" 54 11183
"56" 55 11504
"57" 56 10026
"58" 57 17203
"59" 58 18680
"60" 59 15703
"61" 60 20005
"62" 61 25098
"63" 62 18788
"64" 63 28310
"65" 64 48863
"66" 65 34864
"67" 66 18518
"68" 67 33438
"69" 68 44570
"70" 69 24050
"71" 70 30212
"72" 71 17879
"73" 72 11592
"74" 73 12997
"75" 74 9731
"76" 75 12110
"77" 76 12305
"78" 77 10424
"79" 78 8112
"80" 79 3642
"81" 80 4457
"82" 81 5471
"83" 82 1741
"84" 83 2249
"85" 84 3534
"86" 85 4394
"87" 86 2411
"88" 87 2407
"89" 88 2183
"90" 89 1228
"91" 90 1411
"92" 91 2402
"93" 92 1356
"94" 93 1529
"95" 94 3584
"96" 95 3381
"97" 96 4400
"98" 97 4949
"99" 98 7431
"100" 99 3653
"101" 100 3892
"102" 101 5556
"103" 102 3735
"104" 103 6260
"105" 104 17082
"106" 105 19958
"107" 106 26725
"108" 107 12978
"109" 108 19879
"110" 109 35394
"111" 110 49161
"112" 111 33329
"113" 112 27776
"114" 113 46016
"115" 114 51016
"116" 115 42749
"117" 116 54849
