"time" "cases" "cases1" "cases2" "cases3"
"1" 1 3684 2882 628 174
"2" 2 8351 7032 851 468
"3" 3 13626 11416 1410 800
"4" 4 21264 17811 2237 1216
"5" 5 21223 17805 2644 774
"6" 6 23807 20446 2435 926
"7" 7 25657 22028 2697 932
"8" 8 26917 22677 2923 1317
"9" 9 30358 25356 3754 1248
"10" 10 38963 33056 4609 1298
"11" 11 44489 37888 4920 1681
"12" 12 44661 36126 5274 3261
"13" 13 40815 33254 5335 2226
"14" 14 36917 29879 5289 1749
"15" 15 32144 26360 3951 1833
"16" 16 27042 22448 3496 1098
"17" 17 29265 23807 4147 1311
"18" 18 22870 18319 3218 1333
"19" 19 23881 19428 3128 1325
"20" 20 20682 16354 3126 1202
"21" 21 16225 12086 2504 1635
"22" 22 16070 12807 2140 1123
"23" 23 10549 8742 1219 588
"24" 24 11468 9259 1565 644
"25" 25 9996 7649 1759 588
"26" 26 9344 7051 1380 913
"27" 27 7607 5735 1347 525
"28" 28 5933 4535 1121 277
"29" 29 4608 3714 787 107
"30" 30 4065 2919 762 384
"31" 31 3981 2769 942 270
"32" 32 4133 3112 674 347
"33" 33 3774 2195 803 776
"34" 34 3463 2507 705 251
"35" 35 3515 2625 692 198
"36" 36 3781 2558 1000 223
"37" 37 2974 2246 586 142
"38" 38 3320 2388 702 230
"39" 39 3610 2758 624 228
"40" 40 3878 2759 816 303
"41" 41 3523 2427 707 389
"42" 42 3768 2384 944 440
"43" 43 3713 2410 1028 275
"44" 44 4103 2738 821 544
"45" 45 4464 3151 1031 282
"46" 46 5771 4160 974 637
"47" 47 6299 4860 1088 351
"48" 48 9159 7172 1476 511
"49" 49 9455 7914 1130 411
"50" 50 9970 8151 1326 493
"51" 51 12737 10586 1651 500
"52" 52 8027 6923 800 304
"53" 53 14254 12224 1263 767
"54" 54 19301 16432 2063 806
"55" 55 23683 18892 3110 1681
"56" 56 32028 27209 3384 1435
"57" 57 34209 28754 4276 1179
"58" 58 32922 27668 3837 1417
"59" 59 32599 27775 3645 1179
"60" 60 35056 29530 4142 1384
"61" 61 35098 29105 4277 1716
"62" 62 34992 28737 4390 1865
"63" 63 36989 29368 5007 2614
"64" 64 35552 29339 4345 1868
"65" 65 28357 22876 3823 1658
"66" 66 26801 21840 3540 1421
"67" 67 31728 25456 4126 2146
"68" 68 36597 29748 4772 2077
"69" 69 36788 28244 6028 2516
"70" 70 30466 23274 4732 2460
"71" 71 24013 18751 3390 1872
"72" 72 22818 17667 3637 1514
"73" 73 13776 10160 2640 976
"74" 74 11723 8767 2023 933
"75" 75 11530 8607 1874 1049
"76" 76 9454 6389 2298 767
"77" 77 7263 4991 1544 728
"78" 78 5921 3726 1572 623
"79" 79 5023 3165 1097 761
"80" 80 4919 2567 1537 815
"81" 81 4811 2353 1232 1226
"82" 82 4810 2012 1291 1507
"83" 83 3946 1872 1360 714
"84" 84 3226 1593 1126 507
"85" 85 3907 2051 1263 593
"86" 86 3630 1686 1454 490
"87" 87 4100 1875 1669 556
"88" 88 2788 1384 1025 379
"89" 89 4399 2174 1621 604
"90" 90 4256 2256 1356 644
"91" 91 3795 2141 1156 498
"92" 92 3465 2032 1028 405
"93" 93 4087 2577 1177 333
"94" 94 4348 2787 1086 475
"95" 95 5098 3053 1335 710
"96" 96 5013 3176 1404 433
"97" 97 5676 3446 1579 651
"98" 98 5361 3047 1665 649
"99" 99 6303 4276 1231 796
"100" 100 6801 4879 1219 703
"101" 101 6326 4519 1172 635
"102" 102 6660 5010 1010 640
"103" 103 8628 6902 1210 516
"104" 104 5665 4279 728 658
"105" 105 9113 7661 1006 446
"106" 106 11630 9379 1502 749
"107" 107 14302 11577 1799 926
"108" 108 21043 17401 2660 982
"109" 109 24560 21023 2395 1142
"110" 110 26234 22040 2987 1207
"111" 111 27755 22630 3636 1489
"112" 112 32340 26628 3912 1800
"113" 113 35881 28858 4002 3021
"114" 114 37686 30139 4923 2624
"115" 115 36358 28511 4496 3351
"116" 116 35966 28475 4465 3026
"117" 117 37383 29698 4760 2925
"118" 118 38422 30969 5033 2420
"119" 119 36458 28644 5542 2272
"120" 120 33181 25879 4551 2751
"121" 121 31815 24895 3693 3227
"122" 122 29556 22033 3800 3723
"123" 123 28270 21582 4537 2151
"124" 124 21650 15186 3908 2556
"125" 125 15139 10948 2842 1349
"126" 126 10433 7821 1758 854
