"time" "cases"
"1" 1 0
"2" 2 1
"3" 3 2
"4" 4 6
"5" 5 6
"6" 6 25
"7" 7 42
"8" 8 56
"9" 9 106
"10" 10 171
"11" 11 279
"12" 12 382
"13" 13 576
"14" 14 710
"15" 15 977
"16" 16 934
"17" 17 846
"18" 18 672
"19" 19 585
"20" 20 430
"21" 21 346
"22" 22 221
"23" 23 192
"24" 24 172
"25" 25 122
"26" 26 66
"27" 27 48
"28" 28 57
"29" 29 26
"30" 30 12
"31" 31 10
"32" 32 6
"33" 33 6
"34" 34 8
"35" 35 5
"36" 36 0
"37" 37 1
"38" 38 2
"39" 39 1
"40" 40 0
"41" 41 4
"42" 42 0
"43" 43 0
"44" 44 0
"45" 45 1
"46" 46 0
"47" 47 0
"48" 48 0
"49" 49 0
"50" 50 0
